ablation,name,N_u,N_f,N_f_total,loss_mode,error_u,final_loss,final_mse_u,final_mse_f,final_callback_loss,min_callback_loss,callback_steps,train_time_sec
N_u,N_u=20,20,10000,10020,pinn,0.6907265895343226,0.04567629098892212,0.035062938928604126,0.010613352060317993,0.04567629098892212,0.04567629098892212,136,3.3420329093933105
N_u,N_u=50,50,10000,10050,pinn,0.26678624710716675,0.02917790599167347,0.016027161851525307,0.013150744140148163,0.02917790599167347,0.02917790599167347,243,4.111175775527954
N_u,N_u=100,100,10000,10100,pinn,0.3811598280898258,0.031198181211948395,0.01939297839999199,0.011805201880633831,0.031198181211948395,0.031198181211948395,209,3.6410903930664062
N_u,N_u=200,200,10000,10200,pinn,0.2785245998534789,0.0260460264980793,0.014633212238550186,0.01141281332820654,0.0260460264980793,0.0260460264980793,237,3.964326858520508
N_u,N_u=400,400,10000,10400,pinn,0.17087226145285184,0.018929563462734222,0.008869851008057594,0.010059712454676628,0.018929563462734222,0.018929563462734222,424,6.728877782821655
N_f,N_f=1000,100,1000,1100,pinn,0.30116141500202553,1.58899081270647e-06,2.2391805032384582e-07,1.3650727623826242e-06,1.58899081270647e-06,1.58899081270647e-06,7042,97.01742720603943
N_f,N_f=5000,100,5000,5100,pinn,0.0009327375948691552,3.153372517772368e-06,2.8712756261484174e-07,2.8662450404226547e-06,3.153372517772368e-06,3.153372517772368e-06,5298,76.03309631347656
N_f,N_f=10000,100,10000,10100,pinn,0.4929499404004511,0.0678834617137909,0.047034040093421936,0.020849425345659256,0.0678834617137909,0.0678834617137909,153,2.7420620918273926
N_f,N_f=20000,100,20000,20100,pinn,0.000623272178018505,2.932934876298532e-06,1.5417823817642784e-07,2.7787566523329588e-06,2.932934876298532e-06,2.932934876298532e-06,4957,71.59532880783081
Loss,MSE_u only,100,10000,10100,data_only,1.4609927858060996,6.180212039907929e-07,6.180212039907929e-07,10.323452949523926,6.180212039907929e-07,6.180212039907929e-07,449,1.6088566780090332
Loss,MSE_f only,100,10000,10100,physics_only,0.9999219322437115,1.0451379495179935e-07,0.23368863761425018,1.0451379495179935e-07,1.0451379495179935e-07,1.0451379495179935e-07,42,1.0748567581176758
Loss,MSE_u + MSE_f,100,10000,10100,pinn,0.32038397235675337,0.010265575721859932,0.00444963201880455,0.0058159432373940945,0.010265575721859932,0.010265575721859932,281,4.706625461578369
